Year,Total
1998,11195092
1998,5611749
1998,2532000
1998,5245250
1998,2395855
1998,3332499
1998,2498940
1998,2533410
1998,4653410
1998,2117645
1998,2096293
1998,2549509
1998,3837307
1999,44478902
1999,10797457
1999,11135500
1999,6857445
1999,5940
1999,214663
1999,7655324
1999,43127690
1999,9262694
1999,21991640
1999,14473858
1999,5670018
1999,383125
1999,6522900
1999,36156200
1999,450000
1999,373360
1999,951000
1999,48905343
1999,25744971
1999,1098000
1999,4200000
1999,2844000
1999,8687000
1999,2870000
1999,1796000
1999,5739000
1999,12606000
1999,270000
1999,1377504
1999,3779737
1999,1747800
1999,3871971
1999,1583953
1999,5666045
1999,5522654
1999,4843900
1999,11358833
1999,5616966
1999,11379568
1999,5562216
1999,2360050
1999,2532550
1999,2586800
1999,2438650
1999,5067600
1999,2575521
1999,2627054
1999,2801874
1999,4530400
1999,2090586
1999,2537664
1999,3693236
1999,1987832
1999,2524133
2000,21600000
2000,64038750
2000,8722507
2000,44496455
2000,9010000
2000,27878900
2000,15100000
2000,1681918
2000,185000
2000,6395219
2000,54526806
2000,1222218
2000,335000
2000,334540
2000,918850
2000,38689735
2000,36259333
2000,4926000
2000,21088000
2000,13057000
2000,178000
2000,3379480
2000,1650092
2000,2652316
2000,2689656
2000,2225139
2000,2339550
2000,5054150
2000,8350600
2000,2697200
2000,5568300
2000,2802000
2000,8581500
2000,8360200
2000,2522550
2000,5053950
2000,2338450
2000,5763300
2000,5948800
2000,2185845
2000,3221097
2000,2797568
2000,5318205
2000,2653890
2000,2198140
2000,2319383
2000,2585186
2000,3476768
2001,16205650
2001,25170075
2001,10967800
2001,7604465
2001,38423671
2001,14883720
2001,27858929
2001,15144122
2001,1723910
2001,2805857
2001,6476062
2001,36941430
2001,262000
2001,471770
2001,286375
2001,915100
2001,38918758
2001,41925974
2001,6945600
2001,20806000
2001,13174000
2001,292000
2001,3861739
2001,5327708
2001,2746450
2001,2720918
2001,2746166
2001,5787258
2001,4202651
